Llistat de Vins,Zona,descripció
missatger autòcton,Empordà,"Macabeu i Garnatxa blanca de les vinyes més joves del celler situades a Masarac, a l’Alt Empordà. Fet per en David Pujol Cargol. Un blanc energètic, viu i lluminós, amb una expressió purament mediterrània."
soci  ,Penedès,"En Ferran del Celler Clandestina elabora un vi accessible i amigable, elaborat amb raïms Xarel·lo a la regió de Penedès. Sense sulfits afegits i certificat com a orgànic i vegà, aquest vi convida a gaudir moments especials amb amics i familiars, recordant que el vi és per a tothom."
connexió còsmica,Penedès,"Un vi que representa la lluita del Salva per revalorar la labor de la pagesia i dignificar la terra i aquells que la treballen. Elaborat amb Xarel•lo provinent de Rodonyà al Penedès, que macera lleugerament amb les seves pells durant 8 dies. Un ampolla fresca i vibrant, per obrir entre amics, per beure amb alegria, i per brindar per les coses bones."
cucu barco del corneta,Rueda,"és un vi blanc ecològic de la VT Castella i Lleó, elaborat pel cellerVaixell del Corneta a La Seca, Valladolid. És un monovarietal de raïm Verdejo, concebut com una versió accessible i jove, caracteritzat per la seva frescor, aromes cítrics/anisats, acidesa vibrant i una criança de 8 mesos sobre les líes."
quinta do couselo,Rías Baixas,"Quinta de Couselo és un històric celler situat a O Rosal (Pontevedra), dins la DO Rías Baixas, que elabora vins albariños d'alta qualitat reconeguts per la seva frescor, complexitat i criança sobre les mares. Amb arrels vinculades al Monestir d'Oia des del segle XII, la finca destaca pel seu entorn atlàntic i els característics pins centenaris"
petit chablis ,Borgogne,"La Maison Louis Jadot és un dels cellers històrics de Bourgogne. Amb un gran reconeixement a nivell mundial s'ha posicionat com un dels actors més grans de la regió. Aquest vi és la máxima expresión de lo que la noble uva Chardonnay es capaz de hacer en las famosas laderas calcáreas de la región. El vino es perfumado, vivo, limpio y con sabor a acero con un acabado crujiente."
gelber muskateler muster,Àustria,"és un vi natural d'Àustria fet per la maria i en sepp muster, conegut per la seva frescor aromàtica, espècies i delicada mineralitat, creix sobre sòl d'Opok (marga calcària)  fa la criança amb fustes de roure durant dotze mesos"
arracades de la mar,Penedès,"Vi taronja macerat amb una part de les pells quasi 6 mesos en gerres de fang fet per la Mar a Subirats, recuperant les vinyes de Macabeu i Xarel·lo del tiet d'en Lluís"
orange censurat,Penedès,"El Ferran aconsegueix en aquest vi l’expressió profunda i intrínseca de la Carinyena blanca. Els raïms es desrapen al celler i fermenten amb les seves pells durant 30 dies. Posteriorment el vi reposa en àmfores abans de ser embotellat, sense filtrats ni clarificats. Un deliciós vi orange que uneix força i talent."
sarau ,Empordà,"En Jordi recupera les vinyes de Rabós d'Empordà respectant al màxim la pròpia naturalesa del fruit amb la mínima intervenció. A tal efecte, són seleccionats i premsats suaument. Després, el most obtingut macera amb les pells i fermenta de manera espontània amb llevats autòctons en dipòsits d'acer inoxidable."
amat rosat,Penedès,"El ‘viamic’ reivindica una percepció subjectiva del món i del vi. És un espai per dialogar i imaginar entre amics on el 4G no podrà arribar mai. L’Amat és un vi rosat ecològic elaborat amb raïms de Garnatxa i Ull de Llebre que provenen de Font-Rubí a l’Alt Penedès. Sincer, fresc i fragant."
els nanos,Conca de Barberà,
pell de seda,Empordà,
abrunet rosat,Terra Alta,
corrent negre,Mallorca,
gratitud ,Empordà,
estrem,Priorat,
vespres,Montsant,
inici,Priorat,
volador,Montsant,
haleluya,Priorat,
missatger negre,Empordà,
conde valdemar,Rioja,
cepa 21,Ribera del Duero,
contino,Rioja,
château des Jacques Morgon,Borgogne,
foradori rosso,Itàlia,
at roca brut nature,Penedès,
joan rubió xarel·lo,Penedès,
llopart brut rosé,Penedès,
portium,Penedès,
champagne heidssick brut reserva,Champagne,
